title,price,link
Lenovo IdeaPad Slim 3 15ABR8 AMD Ryzen 5 Hexa Core 5625U - (16 GB/512 GB SSD/Windows 11 Home) 82XM00QD...,"₹52,139",https://www.flipkart.com/lenovo-ideapad-slim-3-15abr8-amd-ryzen-5-hexa-core-5625u-16-gb-512-gb-ssd-windows-11-home-82xm00qdin-thin-light-laptop/p/itm1728625e47c8e?pid=COMHA9FKHGD4RUXN&lid=LSTCOMHA9FKHGD4RUXNCJKFH1&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_29&otracker=search&otracker1=search&fm=Search&iid=28b1d244-e5a1-44c5-8cb4-38a5015c52f5.COMHA9FKHGD4RUXN.SEARCH&ppt=sp&ppn=sp&ssid=rpn4rftznk0000001773084080396&qH=312f91285e048e09&ov_redirect=true
ASUS Expertbook P1 Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 Home) P1403CVA-S60938WS...,"₹43,990",https://www.flipkart.com/asus-expertbook-p1-intel-core-i3-13th-gen-1315u-16-gb-512-gb-ssd-windows-11-home-p1403cva-s60938ws-thin-light-laptop/p/itm0af4b81838b5b?pid=COMH8Z2QAWCCUCSP&lid=LSTCOMH8Z2QAWCCUCSPPZPFKG&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_30&otracker=search&otracker1=search&fm=Search&iid=28b1d244-e5a1-44c5-8cb4-38a5015c52f5.COMH8Z2QAWCCUCSP.SEARCH&ppt=sp&ppn=sp&ssid=rpn4rftznk0000001773084080396&qH=312f91285e048e09&ov_redirect=true
ASUS Chromebook CX14 Intel Celeron Dual Core N4500 - (4 GB/64 GB EMMC Storage/Chrome OS) CX1405CKA-NK0...,"₹15,942",https://www.flipkart.com/asus-chromebook-cx14-intel-celeron-dual-core-n4500-4-gb-64-gb-emmc-storage-chrome-os-cx1405cka-nk0154-cx1405cka-s60342/p/itm076cdd51ac69a?pid=COMHDDZ7PYJZSGUZ&lid=LSTCOMHDDZ7PYJZSGUZKERLBX&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_31&otracker=search&otracker1=search&fm=Search&iid=en_llrvDujbksn3C8hbsFQ0yqJNrv963aTjdA48hb7QoPs7Y909OwEegwqXzquvhTStb7qht5bmh0X-rWvJ2bNIpkKsf8s6I2Oz2HOgbXTo_9U%3D&ppt=sp&ppn=sp&ssid=rpn4rftznk0000001773084080396&qH=312f91285e048e09&ov_redirect=true
Lenovo LOQ Essential Intel Core i7 12650HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA Ge...,"₹80,990",https://www.flipkart.com/lenovo-loq-essential-intel-core-i7-12650hx-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-4050-15iax9e-gaming-laptop/p/itmd07e54ebaf097?pid=COMHGEQVUDH5RKJH&lid=LSTCOMHGEQVUDH5RKJH61KR61&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_32&otracker=search&otracker1=search&fm=Search&iid=en_llrvDujbksn3C8hbsFQ0yqJNrv963aTjdA48hb7QoPsWmbhoaWmUoLmfQtdul16nRxp07jtufOQ2C4oiRaehYZe-z4QeXgTJhz6ZDqqUM18%3D&ppt=sp&ppn=sp&ssid=rpn4rftznk0000001773084080396&qH=312f91285e048e09&ov_redirect=true
"ASUS Vivobook Go 15 (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, AMD Ryzen 5 Quad Core 752...","₹42,990",https://www.flipkart.com/asus-vivobook-go-15-2025-office-2024-m365-basic-backlit-keyboard-amd-ryzen-5-quad-core-7520u-16-gb-512-gb-ssd-windows-11-home-e1504fa-bq2543ws-thin-light-laptop/p/itmef216cf26f85c?pid=COMHCQ5EJAN4SYC7&lid=LSTCOMHCQ5EJAN4SYC7AENXD4&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_33&otracker=search&otracker1=search&fm=Search&iid=28b1d244-e5a1-44c5-8cb4-38a5015c52f5.COMHCQ5EJAN4SYC7.SEARCH&ppt=sp&ppn=sp&ssid=rpn4rftznk0000001773084080396&qH=312f91285e048e09&ov_redirect=true
ASUS Vivobook Go 14 (2025) with Office 2024 + M365 Basic* AMD Ryzen 5 Quad Core 7520U - (16 GB/512 GB ...,"₹42,990",https://www.flipkart.com/asus-vivobook-go-14-2025-office-2024-m365-basic-amd-ryzen-5-quad-core-7520u-16-gb-512-gb-ssd-windows-11-home-e1404fa-nk5542ws-e1404fa-eb2542ws-thin-light-laptop/p/itm6d858ada67799?pid=COMH9SJ93XBRGZJ7&lid=LSTCOMH9SJ93XBRGZJ7A93KBC&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_34&otracker=search&otracker1=search&fm=Search&iid=28b1d244-e5a1-44c5-8cb4-38a5015c52f5.COMH9SJ93XBRGZJ7.SEARCH&ppt=sp&ppn=sp&ssid=rpn4rftznk0000001773084080396&qH=312f91285e048e09&ov_redirect=true
Primebook 2 Max (2025) in-Built AI MediaTek Helio G99 (MT8781) - (8 GB/256 GB/Android 15) PBG9915256#4...,"₹22,990",https://www.flipkart.com/primebook-2-max-2025-in-built-ai-mediatek-helio-g99-mt8781-8-gb-256-gb-android-15-pbg9915256-4278c-laptop/p/itmf01b454e9ac40?pid=COMHDGD5CQJVZUH7&lid=LSTCOMHDGD5CQJVZUH73W3DYP&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_35&otracker=search&otracker1=search&fm=Search&iid=28b1d244-e5a1-44c5-8cb4-38a5015c52f5.COMHDGD5CQJVZUH7.SEARCH&ppt=sp&ppn=sp&ssid=rpn4rftznk0000001773084080396&qH=312f91285e048e09&ov_redirect=true
ASUS Expertbook P1 Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) P1503CVA-S70501WS ...,"₹38,990",https://www.flipkart.com/asus-expertbook-p1-intel-core-i3-13th-gen-1315u-8-gb-512-gb-ssd-windows-11-home-p1503cva-s70501ws-thin-light-laptop/p/itm5b59a30b4c016?pid=COMH8Z2QADYUVZN8&lid=LSTCOMH8Z2QADYUVZN8LRHSHZ&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_36&otracker=search&otracker1=search&fm=Search&iid=28b1d244-e5a1-44c5-8cb4-38a5015c52f5.COMH8Z2QADYUVZN8.SEARCH&ppt=sp&ppn=sp&ssid=rpn4rftznk0000001773084080396&qH=312f91285e048e09&ov_redirect=true
Samsung Galaxy Book4 Metal Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-L...,"₹43,990",https://www.flipkart.com/samsung-galaxy-book4-metal-intel-core-i3-13th-gen-1315u-8-gb-512-gb-ssd-windows-11-home-np750xgj-lg9in-thin-light-laptop/p/itmc29d559898e6f?pid=COMH4Y6KKRC9YSWE&lid=LSTCOMH4Y6KKRC9YSWERDUMZD&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_37&otracker=search&otracker1=search&fm=Search&iid=en_llrvDujbksn3C8hbsFQ0yqJNrv963aTjdA48hb7QoPtWfNH0mItKovEVaACXUWNCytmgAA-hN66mrwb0lnxcqUhz9c-MSIoFe8xMxkfU6dM%3D&ppt=sp&ppn=sp&ssid=rpn4rftznk0000001773084080396&qH=312f91285e048e09&ov_redirect=true
Lenovo LOQ Intel Core i5 13th Gen 13450HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,"₹90,990",https://www.flipkart.com/lenovo-loq-intel-core-i5-13th-gen-13450hx-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-4050-15irx9-gaming-laptop/p/itm975f0ea246a0e?pid=COMHYXV9DUMPQSZA&lid=LSTCOMHYXV9DUMPQSZA1UUBRE&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_38&otracker=search&otracker1=search&fm=Search&iid=en_llrvDujbksn3C8hbsFQ0yqJNrv963aTjdA48hb7QoPvTre3N4aZPzBDbgc07NYqaiJKdNHT3BsGjtsqd-E5OS9T29QNQVU4kmpt6AERHFAg%3D&ppt=sp&ppn=sp&ssid=rpn4rftznk0000001773084080396&qH=312f91285e048e09&ov_redirect=true
